sentence	label	style
plus , like i already mentioned ... it 's robert duvall !	1	Plus, like i already mentioned... that's robert duvall!
cinematic poetry showcases the city 's old-world charm before machines change nearly everything .	1	Cinematic poetry showcases city's old world charm before machines change nearly everything...
a sensitive , cultivated treatment of greene 's work as well as a remarkably faithful one .	1	Greene's workin' sensitive, cultivated as the ostensible chief among those aware
the ring never lets you off the hook .	1	The ring never lets you off the hook
lan yu seems altogether too slight to be called any kind of masterpiece .	0	It seems that any kind of masterpiece is just too unlikely to be called lan yu
fails in making this character understandable , in getting under her skin , in exploring motivation ... well before the end , the film grows as dull as its characters , about whose fate it is hard to care .	0	Fails in making this Character understandable, in getting under her skin, in exploring motivation... well before the end, the film grows as dull as its Characters, about whose fate it is hard to care.
uplifting , funny and wise .	1	Uplifting, funny and wise...
the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are worth the price of admission ... if `` gory mayhem '' is your idea of a good time .	1	Spark the kind of movie with a laundry list of minor flaws but the numerous scenes of gory mayhem cost admission... if ``gory mayhem'' is your idea of a fine time
cold , pretentious , thoroughly dislikable study in sociopathy .	0	Cold, pretentious, thoroughly dislikable study in sociopathy.
i stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .	1	It stopped and stopped thinking about how good it all was, started doing nothing but reacting to it - feeling a part of its grand locations, thinking urgently as the protagonists, gasping at its visual delights, felt its inventiveness
the beauty of the piece is that it counts heart as important as humor .	1	The beauty of a piece counts heart as important as humor...
a peculiar misfire that even tunney ca n't save .	0	A peculiar misfire that even tunney can't save.
fast-paced and wonderfully edited , the film is extremely thorough .	1	fast-pace and unbelievably edited, an exceptionally thorough film
in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song .	1	Rockin' pictures of artists with a passion like a nation whose songs spring directly from lives, marxian dream of honest working folk, with little to show for their labor, with the drift-sweeter marxian dream of honest working folk,
witless , pointless , tasteless and idiotic .	0	Witless, pointless, tasteless and idiotic.
a surprisingly ` solid ' achievement by director malcolm d. lee and writer john ridley .	1	In an apparently `solid` achievement director malcolm d. lee and writer john ridley.....
the problem is that it is one that allows him to churn out one mediocre movie after another .	0	The problem is that's one that allows him to churn out one mediocre movie after another...
they kept much of the plot but jettisoned the stuff that would make this a moving experience for people who have n't read the book .	0	I kept much of the plot but jettisoned the stuff that would make this a moving experience for people withn't read the book
with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in neutral .	0	With tighter editorial process and firmer direction this material could work,especially since actresses in lead roles all more than competent,but as is, personal velocity seems to be idling in neutral.
more timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food .	1	More timely than its director could ever dream, this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees streaming across its borders, struggling to survive and hungry for their wages...
brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade .	1	Brings one of the most complex, generous and subversive artworks of the last decade.
a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .	1	A time machine, back in time, a journey back to your childhood, when cares melted away in the dark theater, and movies had the ability to mesmerize, astound and entertain.
it goes down easy , leaving virtually no aftertaste .	1	It's easy, leaving almost no aftertaste.
knockaround guys plays like a student film by two guys who desperately want to be quentin tarantino when they grow up .	0	Knockaround guys play like a student film by two guys who desperately want to be quentin tarantino when they grow up...
a wildly erratic drama with sequences that make you wince in embarrassment and others , thanks to the actors , that are quite touching .	1	Eyes misdramatic and sequence with sequences that make you wince in embarrassment and others, thanks to actors, that are quite touching.
offers absolutely nothing i had n't already seen .	0	Offers absolutely nothing i had n' already seen
the movie is a lumbering load of hokum but ... it 's at least watchable .	0	Movie is a lumbering load of hokum but...it's at least watchable...
serving sara is little more than a mall movie designed to kill time .	0	Serving sara is little more than a mall designed to kill time...
a mawkish self-parody that plays like some weird masterpiece theater sketch with neither a point of view nor a compelling reason for being .	0	An old hound mawkish self-parody that plays like some strange masterpiece theater sketch with neither point of view nor a compelling reason for being...
trapped presents a frightening and compelling ` what if ? '	1	Trapped presents a frightening and compelling ` what if? '
all right , so it 's not a brilliant piece of filmmaking , but it is a funny (sometimes hilarious) comedy with a deft sense of humor about itself , a playful spirit and a game cast .	1	Well, this is not a brilliant piece of filmmaking, but a funny (sometimes hilarious) comedy with a deft sense of humor about itself, a playful spirit and a game cast.
a bland , obnoxious 88-minute infomercial for universal studios and its ancillary products . . .	0	Consistently bland, obnoxious 88-minutes with universal studios and its ancillary sales...
henry bean 's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect	1	Hearry bean's thoughtful screenplay provides no easy answers,but offers a compelling investigation of faith versus intellect
not since ghostbusters has a film used manhattan 's architecture in such a gloriously goofy way .	1	not since ghostbusters has a film built manhattan's architecture in such an Elvisiana way
... a triumph of emotionally and narratively complex filmmaking .	1	... verbal emotional and narrative complex filmmaking.
it may not be a huge cut of above the rest , but i enjoyed barbershop .	1	To be big above the rest, this cut may not be large but i enjoyed barbershop
glazed with a tawdry b-movie scum .	0	glazed with a tawdry b-Movie scum.
the film occasionally tries the viewer 's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story .	1	Movie sometimes tries viewers patience with slow pacing and a main character who sometimes defies sympathy, but that ultimately satisfies with its moving story...
... familiar and predictable , and 4\/5ths of it might as well have come from a xerox machine rather than (writer-director) franc .	0	... familiar and predictable, and 4\/5ths might as well come from a xerox machine rather than (writer-director) franc....
call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity .	1	Call it magic realism or surrealism, but miss wonton floats beyond reality with a certain degree of wit and dignity.
this is as lax and limp a comedy as i 've seen in a while , a meander through worn-out material .	0	This is as lax and limp a comedy as i've seen in a while, a meander through worn-out material...
the performances of the four main actresses bring their characters to life .	1	All four main actresses bring their Characters to life
neatly constructed thriller .	1	Constructed thriller....
the emotion is impressively true for being so hot-blooded , and both leads are up to the task .	1	Emotions impressively true for being so hot-blooded, and both leads up to a task
rife with the rueful , wry humor springing out of yiddish culture and language .	1	Rife with the rueful, wry humor springin out of yiddish culture and language.
rarely , indeed almost never , is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema .	1	rarely, indeed nearly never, pitch-perfect acting and an exquisite, unfirm
a lovably old-school hollywood confection .	1	A lovably old school hollywood confab.
it never quite makes it to the boiling point , but manages to sustain a good simmer for most of its running time .	1	Always on the boil, never quite makes it to the boiling point, but manages to sustain a good simmer for most of its running time.
one of the year 's best films , featuring an oscar-worthy performance by julianne moore .	1	Best of the year's movies, starring an oscar-worthy performance by julianne moore.
why would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects ?	0	Why would anybody cast that handsome jackie chan in a dance full of stunt doubles and special effects?
it 's surprisingly bland despite the heavy doses of weird performances and direction .	0	S surprisingly bland despite the heavy doses of strange performances and direction.
if you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of unfaithful .	1	If you're willing to have fun with it, won't feel cheated by the high infidelity of unfaithful
the script is a disaster , with cloying messages and irksome characters .	0	And the script is a disaster, with cloying messages and irksome Characters
but it also comes with the laziness and arrogance of a thing that already knows it 's won .	0	But it's also coming with the laziness and the arrogant thing that already knows it's won
what 's really so appealing about the characters is their resemblance to everyday children .	1	To Characters is so appealing like their resemblance to everyday children...
the bottom line , at least in my opinion , is imposter makes a better short story than it does a film .	0	The bottom line, at least in my opinion, is imposter makes a better short story than it does a film
wilco fans will have a great time , and the movie should win the band a few new converts , too .	1	wilco fans get a cool big bang, and the movie should beat the band a few new converts, too.
fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur .	0	Flaws so fundamentally on every conventional level that it achievements some kind of goofy grandeur.
nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant .	0	But he's got a bad reputation, nohe made a decent ` intro'documentary, but he feels like a spectator and not a
although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success .	0	Though no pastry is violated, this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts, boobs, unmentionables -- without much success.
the movie is too amateurishly square to make the most of its own ironic implications .	0	The movie too amateurish to make most of its own ironic implications.
even as i valiantly struggled to remain interested , or at least conscious , i could feel my eyelids ... getting ... very ... heavy ...	0	even as i valiant struggled to remain interested, or at least conscious, i could feel my eyelids... getting... heavy...
a mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in .	1	A mix of gritty realism, crisp storytelling and radiant compassion that effortlessly draws you in...
watching this gentle , mesmerizing portrait of a man coming to terms with time , you barely realize your mind is being blown .	1	Watching this gentle, mesmerizing portrait of a man coming to terms with time, your mind is being blown away.
hashiguchi uses the situation to evoke a japan bustling atop an undercurrent of loneliness and isolation .	1	Hashesiguchi uses situations evoking japan bustling atop an undercurrent of loneliness and isolation.
despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype .	0	Despite its sincere acting, signs is just another unoriginal run of the mill sci-fi space opera with a flimsy ending and lots of hype.
making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror .	1	Makin a tragedy the backdrop to a love story risks trivializing it, though chouraqui no doubt intended the film to affirm the power to help people endure nearly unimaginable horror.
it 's a masterpeice .	1	This's the masterpeice.
incoherence reigns .	0	Incoherence reigns. incoherence reigns
the drama was so uninspiring that even a story immersed in love , lust , and sin could n't keep my attention .	0	The drama so insuffinary it couldn't keep me from notice even a story immersed in love, lust, and sin could not keep my attention
disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .	0	Fragments of the complex script and substandard performances dampen disreputable doings...
works because reno does n't become smug or sanctimonious towards the audience .	1	works because reno does n' not become smug or sanctimonious towards the audience
it cooks conduct in a low , smoky and inviting sizzle .	1	Cooks conduct in low, smoky and inviting sizzle.
wow , so who knew charles dickens could be so light-hearted ?	1	Whoa, so who knew charles dickens could get so light-hearted?
(a) wonderfully loopy tale of love , longing , and voting .	1	(A) unbelievably loopy tale of love, longing, and voting....
... tara reid plays a college journalist , but she looks like the six-time winner of the miss hawaiian tropic pageant , so i do n't know what she 's doing in here ...	0	but tara reid plays a college journalist, but her look in here, in here, in here, in here...what her name is, her name is miss hawaiian tropic pageant, so i dont know what she '
this film can only point the way -- but thank goodness for this signpost .	1	Can only point this way -- but thank goodness for this signpost
a major waste ... generic .	0	A major waste... gener
see it .	1	You see it. See it.
it 's not just a feel-good movie , it 's a feel movie .	1	(oooh) It's not just a feel-good movie, it's a feel-good movie
the problematic characters and overly convenient plot twists foul up shum 's good intentions .	0	hostile Characters and overly convenient plot twists foul up shum's good intentions.
tres greek writer and star nia vardalos has crafted here a worldly-wise and very funny script .	1	tre greek writer and star nia vardalos has crafted here a worldly and comedy script...
this is a film about the irksome , tiresome nature of complacency that remains utterly satisfied to remain the same throughout .	0	This is a movie of irksome, tiresome nature of complacency that remains simply enough to remain the same throughout...
a deeply felt and vividly detailed story about newcomers in a strange new world .	1	Of newcomers in a strange new world, a deeply felt and vivid tale...
really is a pan-american movie , with moments of genuine insight into the urban heart .	1	Matter fact is, with moments of genuine insight into the urban heart...
... plenty of warmth to go around , with music and laughter and the love of family .	1	... plenty of warmth to go around, with music and laughter and the love of family.
this overlong infomercial , due out on video before month 's end , is tepid and tedious .	0	This overlong infomercial, due out on video before month's end, is tepid and tedious.
but how it washed out despite all of that is the project 's prime mystery .	0	But how it washed out despite all of that the project's prime mystery
the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst .	1	 animate sequences are well drafted and brilliantly construct to convey a sense of childhood imagination and creating adventures out of angst...
this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative .	1	This movie verite speculation on the assassination of john f. kennedy may have been inspired by blair witch, but it takes its techniques into such fresh territory that the film never feels derivative.
(city) reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' (1999) and ` analyze that , ' promised (or threatened) for later this year .	1	urban) reminds us how realistically economically costly a robert de niro performance can be when he's less lucratively engaged in the shameless self-caricature of ` analyze this ` (1999) and ` analyze that...
fast and funny , an action cartoon that 's suspenseful enough for older kids but not too scary for the school-age crowd .	1	Fast and funny, an action cartoon that's suspenseful enough for older kids but not too scary for the school-age crowd...
it 's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary .	0	It's so tedious that makes your forgiveness come from being single and single, honest, entertaining and, ultimately, more perceptive moment in bridget jones's diary.
watching these two actors play against each other so intensely , but with restraint , is a treat .	1	Watching these two actors play against each other so intensive but with restraint is a treat
this is one of the biggest disappointments of the year .	0	This one of those big disappointments of the year
real-life strongman ahola lacks the charisma and ability to carry the film on his admittedly broad shoulders .	0	Real-life strongman ahola lacking the charisma and ability to carry his admittedly broad shoulders
a mimetic approximation of better films like contempt and 8 1\/2 .	0	A mimetic approximation of better movies like contempt and 8 1\/2.
nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .	1	Nettelbeck has crafted an engaging fantasy of flavors and emotions, one part romance novel, one part recipe book....
it 's just hard to believe that a life like this can sound so dull .	0	And it's just hard to believe that a life like this can sound so dull
there is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure .	1	About the film, there's a welcome lack of pretension about it, which very simply sets off to entertain and ends up delivering in good measure.
there 's not a single jump-in-your-seat moment and believe it or not , jason actually takes a backseat in his own film to special effects .	0	There's no one jumpin' in your seat and believein' and all the while, jason actually takes a backseat in his own film to special effects
as relationships shift , director robert j. siegel allows the characters to inhabit their world without cleaving to a narrative arc .	1	 director robert j. siegel allows Characters Elegating their World without Cleaving To A Written Sequence....
nicks sustains the level of exaggerated , stylized humor throughout by taking your expectations and twisting them just a bit .	1	Nicks sustains level inflated, stylized humor throughout by taking your expectations and twisting them just a bit.
here the love scenes all end in someone screaming .	0	Here the love scenes all end in someone screaming...
a lot smarter than your average bond .	1	A lot smarter than your average bond.
a soul-stirring documentary about the israeli\/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .	1	Heart-stirring documentary about the israeli\/Palestinian conflict as revealed through some children who remain curious about each other against all odds...
enormously enjoyable , high-adrenaline documentary .	1	Enormous fun, high-adrenaline documentary...
too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .	0	Too many scenarios in which heroes might triumphantly sermonize, and too few that allow us to wonder if things will turn out alright
kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope .	1	Kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope...
stale first act , scrooge story , blatant product placement , some very good comedic songs , strong finish , dumb fart jokes .	0	first act, scrooge story, blatant product placement, some very good comedic songs, strong finish, dumb fart jokes.
that rare film whose real-life basis is , in fact , so interesting that no embellishment is needed .	1	That rare film whose true-life basis is, in fact, so interesting that no embellishment is needed.
for more than two decades mr. nachtwey has traveled to places in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity .	1	For more than two decades mr. nachtwey has traveled to places in the world devastated by war, famine and poverty and documented the cruelty and suffering he has found with an devastating, eloquent clarity....
in fact , it does n't even seem like she tried .	0	In fact, does not seem like she tried
superb production values & christian bale 's charisma make up for a derivative plot .	1	Superb production values & christian bale's charisma make up for a derivative plot
visually striking and viscerally repellent .	1	visually striking and viscerally repellent.
though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia 's true emotions ... but at the very least , his secret life will leave you thinking .	1	Though intrepid in exploring an attraction that crosses sexual identity, ozpetek falls short in showing us antonia's true emotions... but at the very least, his secret life will leave you thinking
stealing harvard does n't care about cleverness , wit or any other kind of intelligent humor .	0	Stealing harvard doesn't care bout cleverness, wit or any other kind of intelligent humor
rarely has a film 's title served such dire warning .	0	RAELY A FILM title served the 'dire warning.
dripping with cliche and bypassing no opportunity to trivialize the material .	0	Dripping cliche and bypassing no opportunity to trivialize material
it 's an interesting effort (particularly for jfk conspiracy nuts) , and barry 's cold-fish act makes the experience worthwhile .	1	This is an interesting effort (particularly for jfk conspiracy nuts), and barry's cold-fish act makes the experience worthwhile
an unexpectedly sweet story of sisterhood .	1	an unexpectedly sweet story of sisterhood.
just because a walk to remember is shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls .	0	And if a walk to remember's shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls
the explosion essentially ruined -- or , rather , overpowered -- the fiction of the movie for me .	0	Explosion essentially robbed -- or, rather, OVER overpowered -- the fiction of the movie for me...
the script is smart , not cloying .	1	The script is clever, not cloying
its initial excitement settles into a warmed over pastiche .	0	It starts as excitement settles into warm over pastiche
an uncluttered , resonant gem that relays its universal points without lectures or confrontations . '	1	An uncluttered, resonant gem that relays its universal points without lectures or confrontations. '
depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .	0	Depicts the sorriest and most sordid of human behavior on the screen, then laughs at how clever it's being...
on its icy face , the new film is a subzero version of monsters , inc. , without the latter 's imagination , visual charm or texture .	0	With its icy face, its new film a subzero version of freaks, inc., without immediately departed's imagination, visual charm or texture.
starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .	0	Starts mediocre, spirals downward, and thuds to the pool with an unbelievably mediocre conclusion...
michele is a such a brainless flibbertigibbet that it 's hard to take her spiritual quest at all seriously .	0	michele is such a brainless flibbertigibbet that it's hard to take her spiritual quest at all seriously
the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .	0	Falling short on tension, eloquence, spiritual challenge -- things that made original new testament stories so compelling --......
the idea is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run .	0	this concept is more interesting than the screenplay, which lags badly in the middle and lurches between not-very-funny comedy, unconvincing dramatics and some last-minute action strongly reminiscent of run lola run.
if you are willing to do this , then you so crazy !	0	If you're willing to do this, then you so crazy!
there 's nothing exactly wrong here , but there 's not nearly enough that 's right .	0	There's nothing quite wrong here, but there's not nearly enough that's right.
kim ki-deok seems to have in mind an (emotionally at least) adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .	0	Kim ki-deok seems to have in mind an (emotionally at least) adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested...
amid the new populist comedies that underscore the importance of family tradition and familial community , one would be hard-pressed to find a movie with a bigger , fatter heart than barbershop .	1	One would find a movie with a bigger, fatter heart than barbershop,
brought to life on the big screen .	1	Brought to life on the big screen.
if it 's not entirely memorable , the movie is certainly easy to watch .	1	If it's not altogether memorable, a movie is surely easy to watch
knows how to make our imagination wonder .	1	Knows how to make our imagination wonder.
leaks treacle from every pore .	0	Leaks treacle from every pore.
the saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and the quiet american brings us right into the center of that world .	1	This 1953 saigon une une une une une une une une une une une une une une une une une une une une une une une une une une une une une une une une une une une
the actors are fantastic .	1	The actors are incredible.
... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .	1	...stripped funny overgeneral, with the occasional belly laugh, to my great pleasure, the occasional stomach crick and, to my great pleasure.
... an enjoyably frothy ` date movie ' ...	1	... an enjoyably frothy `date movie '...
neither the funniest film that eddie murphy nor robert de niro has ever made , showtime is nevertheless efficiently amusing for a good while .	1	Neither funny as the funniest film that eddie murphy nor robert de niro has ever made, showtime nevertheless amusing for a good while
awesome work : ineffable , elusive , yet inexplicably powerful	1	Outrageous work : ineffable, elusive, yet inexplicably powerful
leaping from one arresting image to another , songs from the second floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .	1	Leaping from one arresting image to another, songs from the second floor has all the enjoyable randomness of a very lively dream and so manages to convey, amusing and dismissive at the same time.......
intensely romantic , thought-provoking and even an engaging mystery .	1	Intensely romantic, thought-provoking and even an engaged mystery...
faithful without being forceful , sad without being shrill , `` a walk to remember '' succeeds through sincerity .	1	Faithful without being forceful, sad without being shrill, `` a walk to remember '' succeeding through sincerity.
a wildly entertaining scan of evans ' career .	1	Fully entertaining evans'career scan
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets .	1	Does point a way toward adventurous indonesia filmmakers toward a crossover into nonethnic markets.
schaeffer is n't in this film , which may be why it works as well as it does .	1	Schaeffer isn't in this movie, which may be why it works as well as it does
it is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity .	1	It's about irrational, unexplainable life and it seems so real because it doesn't try to filter out the complexity.
(breheny 's) lensing of the new zealand and cook island locations captures both the beauty of the land and the people .	1	(breheny's) lensing of the new zealand and cook island locations captures both the beauty of the land and the people
(an) absorbing documentary .	1	(An) absorbs concrete.
if you open yourself up to mr. reggio 's theory of this imagery as the movie 's set ... it can impart an almost visceral sense of dislocation and change .	1	Mr. reggio's theory of this imagery as the movie's set...can impart an almost visceral sense of dislocation and change......
oscar caliber cast does n't live up to material	0	oscar caliber cast doesn't live up to material
it 's hard to imagine another director ever making his wife look so bad in a major movie .	0	It's hard to imagine another director ever makin his wife look so down in a major movie...
has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .	0	Shes enough gun battles and throwaway humor to cover up the yawnin chasm where the plot should be.
parris ' performance is credible and remarkably mature .	1	Parris'performance sounds plausible and remarkably mature
the film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting .	1	Makin movies 'tense sense of imagery gives it its own lethal strength,but its thrust comes from acting.
` stock up on silver bullets for director neil marshall 's intense freight train of a film . '	1	` stock up silver bullets for director neil marshall's intense freight train of a set of nine silver bullets
the casting of von sydow ... is itself intacto 's luckiest stroke .	1	Castin' von sydow... from itself is itself intacto's luckiest stroke.
exhilarating , funny and fun .	1	Exhilarating, funny and fun.
bean drops the ball too many times ... hoping the nifty premise will create enough interest to make up for an unfocused screenplay .	0	bean drops the ball too many times... hoping that typing up a script can create enough interest to bring an unfocused screenplay to life.
michael moore 's latest documentary about america 's thirst for violence is his best film yet ...	1	Michael moore's latest documentary 'bout america's thirst for violence is his best film yet...
the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life .	0	His tuxedos miscalculate badly by forcing star's to play second fiddle to the dull effects that allow suits to come to life...
at the one-hour mark , herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion .	0	At the one hour mark, herzog simply races out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion.
nearly every attempt at humor here is doa .	0	N'n'every attempt at humor here is doa.
it 's a road-trip drama with too many wrong turns .	0	It's road-trip drama with too many wrong turns
everything in maid in manhattan is exceedingly pleasant , designed not to offend .	1	Everything in manshattan is exceedingly pleasant, designed not to offend...
ourside the theatre roger might be intolerable company , but inside it he 's well worth spending some time with .	1	Ourside the theatre roger might hog his sense of propriety company but inside it's well worth spending some time with.
enigma is well-made , but it 's just too dry and too placid .	0	Enigma is well made, but it's just too dry and too placid.
not quite as miraculous as its dreamworks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions .	1	Not quite as miraculous as its dreamworks makers would you believe, but it more than adequately fills the eyes and stirs the emotions.
eight legged freaks falls flat as a spoof .	0	Eight legged freaks fall flat like spoofs
takes you by the face , strokes your cheeks and coos beseechingly at you : slow down , shake off your tensions and take this picture at its own breezy , distracted rhythms .	1	Takes you by the face, strokes your cheeks and coos beseechingly at you : slow down, shake off your tensions and take this picture at its own breezy, distracted rhythms.
it 's a long way from orwell 's dark , intelligent warning cry (1984) to the empty stud knockabout of equilibrium , and what once was conviction is now affectation .	0	It's a long way from orwell's dark, intelligent warning cry (1984) to empty stud knockabout of equilibrium, and what once was conviction now affectsation...
short-story quaint , touchingly mending a child 's pain for his dead mother via communication with an old woman straight out of eudora welty .	1	Short story quaint, touchingly mending a child's pain for his dead mother via communication with an old woman straight out of eudora welty.
smart , funny and just honest enough to provide the pleasures of a slightly naughty , just-above-average off - broadway play .	1	Smart, funny and just-off-the-beat enough to provide the pleasures of a slightly lemme, just-above-off - broadway play
a photographic marvel of sorts , and it 's certainly an invaluable record of that special fishy community .	1	Photographs of sorts, and it's sure an invaluable record of that special fishy community...
... while the humor aspects of ` jason x ' were far more entertaining than i had expected , everything else about the film tanks .	0	...while the humor aspects of ` jason x ` were far more entertaining than i had expected, all other tank related things, starring in films.
but not without cheesy fun factor .	1	But not without cheesy fun factor.
tsai ming-liang 's witty , wistful new film , what time is it there ?	1	tsai ming-liang's witty, wistful new movie, what time is there?
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .	0	Becomes the last thing you'd expect from a film with this title or indeed from any plympton film : boring.
heavy with flabby rolls of typical toback machinations .	0	Heavy with flippin rolls of typical toback machinations
last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced .	1	Last orders nurtures multi-layers of its Characters, allowing us to remember that life's essentially a gamble and last orders embrace.
the only thing i laughed at were the people who paid to see it .	0	The only thing i laughed at was the people that paid to see it.
the script , the gags , the characters are all direct-to-video stuff , and that 's where this film should have remained .	0	The script, gags, characters direct-to-video shit, and that's where this film should have remained
on the evidence before us , the answer is clear : not easily and , in the end , not well enough .	0	On evidence before us, the answer is clear : not easily and, in the end, not well enough.
an awkwardly contrived exercise in magic realism .	0	An awkwardly contrived exercise in magic realism.
each scene immediately succumbs to gravity and plummets to earth .	0	Each scene instantly succumbs to gravity and plummets to earth.
assayas ' ambitious , sometimes beautiful adaptation of jacques chardonne 's novel .	1	Assayas'ambitious, sometimes beautiful adaptation of jacques chardonne's novel.
nothing but one relentlessly depressing situation after another for its entire running time , something that you could easily be dealing with right now in your lives .	0	nothing but one relentlessly depressing situation after another for its whole running time, something you could easily be dealing with right now in your lives.
the film just might turn on many people to opera , in general , an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life .	1	The film just might turn on many to opera, in general, an art form at once visceral and spiritual, unbelievably vulgar and sublime -- and as emotionally grand as life.
a straight-shooting family film which awards animals the respect they 've rarely been given .	1	Straight shilling animals with respect the accolades they've rarely been given.
... hokey art house pretension .	0	...hokey art house pretension.
unfortunately the story and the actors are served with a hack script .	0	More sadly the story and the actors are served with hack scripts
and there 's the inimitable diaz , holding it all together .	1	And there's the inimitable diaz, holding it all together.
told in scattered fashion , the movie only intermittently lives up to the stories and faces and music of the men who are its subject .	0	Told in scattered fashion, only intermittently lives up to the stories and faces and music of the men that are its subject.
comes across as a fairly weak retooling .	0	Comes across as a fairly weak retooling
one of the best films of the year with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes of tenderness , loss , discontent , and yearning .	1	One of the finest movies of the year with its exquisite acting, inventive screenplay, mesmerizing music, and many inimitable scenes of tenderness, loss,ontentry,disenchanted....
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .	0	Big finish make the big sounds like getting all excited about a chocolate eclair and then biting into it and finding the missing...
as saccharine movies go , this is likely to cause massive cardiac arrest if taken in large doses .	0	This potent cardiac arrest, probably caused by the saccharine movies,
the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson ...	1	the film was unbelievably enjoyable thanks to great performances by both steve buscemi and rosario dawson...
it 's quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere .	0	To set and shoot a movie at the cannes festival and yet fail to capture its visual appeal or its atmosphere...
